	chao1
1788.mck772Post.10Buma.10	152.64705882352942
1788.mck266Post.1Buma.1	100.0
1788.mck311Post.2Raca.3	79.0
1788.mck768Post.10Buma.6	187.06666666666666
1788.mck520Post.5Osse.7	221.8
1788.mck30Pre.1Rapi.9	94.6
1788.mck69Pre.2Rapi.5	122.0
1788.mck771Post.10Buma.9	131.5
1788.mck767Post.10Buma.5	124.64705882352942
1788.mck702Post.9Buma.5	217.375
1788.mck26Pre.1Rapi.5	86.25
1788.mck84Pre.2Bubo.8	83.16666666666667
1788.mck790Post.11Bubo.6	56.0
1788.mck108Pre.3Buma.2	139.04761904761904
1788.mck310Post.2Raca.2	114.75
1788.mck807Post.10Control.Mold	140.27272727272728
1788.mck198Pre.3Osse.6	93.58333333333333
1788.mck243Pre.5Bubo.8	72.0
1788.mck366Post.3Raca.5	132.65217391304347
1788.mck61Pre.2Buma.8	220.9375
1788.mck787Post.11Bubo.2	78.0
1788.mck697Post.9Raca.10	183.75
1788.mck331Post.2Rapi.2	92.25
1788.mck45Pre.2Raca.2	227.11111111111111
1788.mck166Pre.4Buma.7	111.58823529411765
1788.mck48Pre.2Raca.5	125.46153846153845
1788.mck348Post.2Bubo.7	70.2
1788.mck88Pre.1Osse.2	69.2
1788.mck196Pre.3Osse.4	91.27272727272728
1788.mck796Post.10Osse.3	142.36363636363637
1788.mck118Pre.3Rapi.1	70.14285714285714
1788.mck468Post.4Osse.8	123.85714285714286
1788.mck349Post.2Bubo.8	59.75
1788.mck231Pre.5Rapi.8	59.25
1788.mck93Pre.1Osse.7	86.36363636363636
1788.mck185Pre.4Bubo.3	73.0
1788.mck315Post.2Raca.7	116.0
1788.mck217Pre.5Buma.5	169.375
1788.mck558Post.6Bubo.2	108.25
1788.mck572Post.6Osse.6	128.11111111111111
1788.mck733Post.9Osse.4	83.375
1788.mck227Pre.5Rapi.4	66.0
1788.mck469Post.4Osse.9	122.125
1788.mck534Post.6Buma.1	221.0
1788.mck308Post.1Osse.10	80.42857142857143
1788.mck219Pre.5Buma.7	132.0
1788.mck169Pre.4Buma.10	151.0
1788.mck314Post.2Raca.6	87.25
1788.mck422Post.4Raca.5	121.66666666666667
1788.mck518Post.5Osse.5	96.5
1788.mck559Post.6Bubo.3	80.2
1788.mck573Post.6Osse.7	202.89473684210526
1788.mck102Pre.3Raca.6	257.6
1788.mck224Pre.5Rapi.1	180.61904761904762
1788.mck776Post.10Rapi.3	59.0
1788.mck147Pre.2Osse.8	110.2
1788.mck113Pre.3Buma.7	137.2
1788.mck521Post.5Osse.8	172.95652173913044
1788.mck178Pre.4Rapi.8	82.6
1788.mck770Post.10Buma.8	171.25
1788.mck123Pre.3Rapi.6	72.0
1788.mck766Post.10Buma.4	155.0
1788.mck438Post.4Buma.11	126.08333333333333
1788.mck208Pre.5Raca.6	113.46153846153847
1788.mck326Post.2Buma.8	178.15384615384616
1788.mck570Post.6Osse.4	125.0
1788.mck335Post.2Rapi.6	79.0
1788.mck769Post.10Buma.7	123.4375
1788.mck42Pre.1Bubo.9	150.0
1788.mck257Post.1Raca.2	65.0
1788.mck678Post.8Osse.1	100.375
1788.mck536Post.6Buma.3	175.33333333333334
1788.mck206Pre.5Raca.4	139.0
1788.mck120Pre.3Rapi.3	124.25
1788.mck327Post.2Buma.9	147.375
1788.mck745Post.10Bubo.2	80.75
1788.mck571Post.6Osse.5	84.66666666666667
1788.mck210Pre.5Raca.8	142.0
1788.mck784Post.10Rapi.11	123.0
1788.mck18Pre.1Buma.8	170.76923076923077
1788.mck658Post.8Rapi.2	94.16666666666667
1788.mck5Pre.1Raca.5	125.55
1788.mck141Pre.2Osse.2	80.0
1788.mck460Post.4Bubo.10	82.75
1788.mck707Post.9Buma.10	131.4
1788.mck239Pre.5Bubo.4	101.42857142857143
1788.mck392Post.3Rapi.10	53.25
1788.mck216Pre.5Buma.4	152.36363636363637
1788.mck671Post.8Bubo.3	79.5
1788.mck402Post.3Bubo.8	68.66666666666667
1788.mck380Post.3Buma.9	122.95652173913044
1788.mck465Post.4Osse.5	104.5
1788.mck11Pre.1Buma.1	160.16666666666666
1788.mck387Post.3Rapi.5	86.0
1788.mck92Pre.1Osse.6	70.75
1788.mck129Pre.3Rapi.12	95.66666666666667
1788.mck184Pre.4Bubo.2	62.666666666666664
1788.mck758Post.10Raca.6	98.0
1788.mck780Post.10Rapi.7	112.5
1788.mck781Post.10Rapi.8	109.9090909090909
1788.mck60Pre.2Buma.7	185.33333333333334
1788.mck242Pre.5Bubo.7	113.25
1788.mck103Pre.3Raca.7	189.64705882352942
1788.mck685Post.8Osse.8	171.23076923076923
1788.mck171Pre.4Rapi.1	145.55555555555554
1788.mck167Pre.4Buma.8	172.06666666666666
1788.mck670Post.8Bubo.2	101.11111111111111
1788.mck403Post.3Bubo.9	98.0
1788.mck386Post.3Rapi.4	93.0
1788.mck757Post.10Raca.5	127.14285714285714
1788.mck138Pre.3Bubo.9	80.57142857142857
1788.mck218Pre.5Buma.6	153.08333333333334
1788.mck345Post.2Bubo.4	101.0
1788.mck464Post.4Osse.4	149.0
1788.mck720Post.9Rapi.12	285.0
1788.mck505Post.5Bubo.2	67.25
1788.mck291Post.1Bubo.3	68.42857142857143
1788.mck130Pre.3Bubo.1	81.2
1788.mck209Pre.5Raca.7	154.78947368421052
1788.mck179Pre.4Rapi.9	82.6
1788.mck150Pre.4Raca.1	251.5
1788.mck467Post.4Osse.7	118.33333333333333
1788.mck112Pre.3Buma.6	176.1764705882353
1788.mck290Post.1Bubo.2	80.25
1788.mck29Pre.1Rapi.8	78.75
1788.mck646Post.8Buma.1	148.35294117647058
1788.mck680Post.8Osse.3	123.66666666666667
1788.mck4Pre.1Raca.4	208.0
1788.mck133Pre.3Bubo.4	80.0
1788.mck655Post.8Buma.10	146.4
1788.mck19Pre.1Buma.9	190.25
1788.mck161Pre.4Buma.2	181.08333333333334
1788.mck153Pre.4Raca.4	188.21428571428572
1788.mck347Post.2Bubo.6	51.5
1788.mck376Post.3Buma.5	208.3125
1788.mck461Post.4Osse.1	113.0
1788.mck383Post.3Rapi.1	170.5263157894737
1788.mck618Post.7Bubo.6	68.14285714285714
1788.mck432Post.4Buma.5	137.83333333333334
1788.mck278Post.1Rapi.2	79.5
1788.mck517Post.5Osse.4	121.0909090909091
1788.mck502Post.5Rapi.11	121.0
1788.mck107Pre.3Buma.1	149.10526315789474
1788.mck524Post.6Raca.1	38.0
1788.mck38Pre.1Bubo.5	187.35294117647058
1788.mck109Pre.3Buma.3	202.0
1788.mck85Pre.2Bubo.9	70.85714285714286
1788.mck619Post.7Bubo.7	84.0
1788.mck55Pre.2Buma.2	138.4
1788.mck279Post.1Rapi.3	90.76923076923077
1788.mck10Pre.1Raca.10	104.5
1788.mck58Pre.2Buma.5	163.1
1788.mck35Pre.1Bubo.2	117.0909090909091
1788.mck674Post.8Bubo.6	45.75
1788.mck68Pre.2Rapi.4	44.75
1788.mck404Post.3Bubo.10	41.75
1788.mck116Pre.3Buma.10	166.0
1788.mck303Post.1Osse.5	105.125
1788.mck756Post.10Raca.4	150.64705882352942
1788.mck463Post.4Osse.3	101.0
1788.mck624Post.7Osse.2	346.57894736842104
1788.mck170Pre.4Buma.11	103.1
1788.mck295Post.1Bubo.7	79.5
1788.mck427Post.4Raca.10	251.78378378378378
1788.mck43Pre.1Bubo.10	105.9090909090909
1788.mck526Post.6Raca.3	108.07692307692308
1788.mck146Pre.2Osse.7	162.31578947368422
1788.mck199Pre.3Osse.7	80.5
1788.mck302Post.1Osse.4	76.625
1788.mck759Post.10Raca.7	161.4
1788.mck230Pre.5Rapi.7	150.15384615384616
1788.mck117Pre.3Buma.11	171.33333333333334
1788.mck197Pre.3Osse.5	80.1
1788.mck89Pre.1Osse.3	84.83333333333333
1788.mck462Post.4Osse.2	139.75
1788.mck343Post.2Bubo.2	53.5
1788.mck372Post.3Buma.1	143.4
1788.mck294Post.1Bubo.6	42.0
1788.mck684Post.8Osse.7	193.8125
1788.mck251Pre.4Osse.6	91.625
1788.mck625Post.7Osse.3	104.33333333333333
1788.mck793Post.11Bubo.10	108.3
1788.mck350Post.2Bubo.9	97.0
1788.mck393Post.3Rapi.11	32.0
1788.mck797Post.10Osse.4	78.85714285714286
1788.mck599Post.7Buma.10	147.8
1788.mck677Post.8Bubo.10	140.25
1788.mck779Post.10Rapi.6	198.0
1788.mck223Pre.5Buma.11	161.05555555555554
1788.mck492Post.5Rapi.1	71.6
1788.mck451Post.4Bubo.1	72.11111111111111
1788.mck173Pre.4Rapi.3	101.25
1788.mck542Post.6Buma.9	136.2
1788.mck323Post.2Buma.5	174.8
1788.mck101Pre.3Raca.5	122.42857142857143
1788.mck240Pre.5Bubo.5	80.42857142857143
1788.mck551Post.6Rapi.7	131.0
1788.mck805Post.10Control.Holtfreter	23.0
1788.mck428Post.4Buma.1	135.5
1788.mck575Post.6Osse.9	184.8
1788.mck628Post.7Osse.6	105.0
1788.mck486Post.5Buma.6	143.375
1788.mck23Pre.1Rapi.2	153.0
1788.mck236Pre.5Bubo.1	80.16666666666667
1788.mck13Pre.1Buma.3	165.4
1788.mck90Pre.1Osse.4	55.75
1788.mck806Post.10Control.Crickets	304.875
1788.mck544Post.6Buma.11	157.89473684210526
1788.mck222Pre.5Buma.10	129.0
1788.mck487Post.5Buma.7	110.52631578947368
1788.mck286Post.1Rapi.10	83.0
1788.mck322Post.2Buma.4	133.21428571428572
1788.mck550Post.6Rapi.6	141.125
1788.mck574Post.6Osse.8	334.525
1788.mck585Post.7Raca.6	106.33333333333333
1788.mck711Post.9Rapi.3	109.14285714285714
1788.mck614Post.7Bubo.2	62.0
1788.mck53Pre.2Raca.10	148.85714285714286
1788.mck484Post.5Buma.4	151.75
1788.mck528Post.6Raca.5	167.88235294117646
1788.mck426Post.4Raca.9	161.56521739130434
1788.mck453Post.4Bubo.3	84.66666666666667
1788.mck543Post.6Buma.10	132.33333333333334
1788.mck6Pre.1Raca.6	127.11111111111111
1788.mck381Post.3Buma.10	42.5
1788.mck615Post.7Bubo.3	83.33333333333333
1788.mck710Post.9Rapi.2	220.0
1788.mck785Post.10Rapi.12	130.16666666666666
1788.mck110Pre.3Buma.4	175.11111111111111
1788.mck360Post.2Osse.9	96.0
1788.mck485Post.5Buma.5	212.76923076923077
1788.mck132Pre.3Bubo.3	78.875
1788.mck730Post.9Osse.1	138.66666666666666
1788.mck737Post.9Osse.8	111.11111111111111
1788.mck452Post.4Bubo.2	72.6
1788.mck299Post.1Osse.1	120.5
1788.mck496Post.5Rapi.5	48.0
1788.mck455Post.4Bubo.5	92.5
1788.mck275Post.1Buma.10	94.33333333333333
1788.mck482Post.5Buma.2	151.21428571428572
1788.mck106Pre.3Raca.10	167.33333333333334
1788.mck622Post.7Bubo.10	100.14285714285714
1788.mck454Post.4Bubo.4	89.07692307692308
1788.mck641Post.8Raca.6	150.0
1788.mck72Pre.2Rapi.8	75.75
1788.mck483Post.5Buma.3	146.58823529411765
1788.mck736Post.9Osse.7	161.14285714285714
1788.mck183Pre.4Bubo.1	121.57142857142857
1788.mck688Post.9Raca.1	161.6153846153846
1788.mck298Post.1Bubo.10	76.375
1788.mck339Post.2Rapi.10	60.5
1788.mck777Post.10Rapi.4	91.14285714285714
1788.mck287Post.1Rapi.11	131.15384615384616
1788.mck791Post.11Bubo.8	91.85714285714286
1788.mck457Post.4Bubo.7	61.6
1788.mck799Post.10Osse.6	147.1
1788.mck715Post.9Rapi.7	94.125
1788.mck706Post.9Buma.9	164.61904761904762
1788.mck481Post.5Buma.1	119.17647058823529
1788.mck734Post.9Osse.5	62.111111111111114
1788.mck144Pre.2Osse.5	79.66666666666667
1788.mck255Pre.4Osse.10	49.0
1788.mck456Post.4Bubo.6	51.25
1788.mck533Post.6Raca.10	100.0
1788.mck245Pre.5Bubo.10	98.0
1788.mck271Post.1Buma.6	123.0
1788.mck419Post.4Raca.2	134.23529411764707
1788.mck714Post.9Rapi.6	131.1
1788.mck509Post.5Bubo.6	61.0
1788.mck306Post.1Osse.8	92.11111111111111
1788.mck568Post.6Osse.2	174.0
1788.mck600Post.7Buma.11	218.95454545454547
1788.mck458Post.4Bubo.8	81.0
1788.mck341Post.2Rapi.12	77.0
1788.mck448Post.4Rapi.10	57.0
1788.mck800Post.10Osse.7	92.625
1788.mck801Post.10Osse.8	82.5
1788.mck307Post.1Osse.9	66.0
1788.mck569Post.6Osse.3	152.9090909090909
1788.mck516Post.5Osse.3	84.25
1788.mck459Post.4Bubo.9	71.85714285714286
1788.mck73Pre.2Rapi.9	138.0
1788.mck356Post.2Osse.5	162.9090909090909
1788.mck718Post.9Rapi.10	130.16666666666666
1788.mck155Pre.4Raca.6	243.8
1788.mck480Post.5Raca.10	79.66666666666667
1788.mck351Post.2Bubo.10	90.625
1788.mck52Pre.2Raca.9	124.375
1788.mck440Post.4Rapi.2	51.75
1788.mck729Post.9Bubo.10	74.625
1788.mck511Post.5Bubo.8	82.5
1788.mck135Pre.3Bubo.6	92.0
1788.mck32Pre.1Rapi.11	87.25
1788.mck738Post.9Osse.9	176.25
1788.mck259Post.1Raca.4	125.16666666666667
1788.mck436Post.4Buma.9	187.0
1788.mck538Post.6Buma.5	192.54545454545456
1788.mck441Post.4Rapi.3	95.75
1788.mck527Post.6Raca.4	198.5263157894737
1788.mck164Pre.4Buma.5	181.0
1788.mck762Post.10Raca.10	220.5
1788.mck192Pre.4Bubo.10	104.375
1788.mck361Post.2Osse.10	122.14285714285714
1788.mck595Post.7Buma.6	157.5625
1788.mck226Pre.5Rapi.3	91.27272727272728
1788.mck100Pre.3Raca.4	76.125
1788.mck510Post.5Bubo.7	83.25
1788.mck683Post.8Osse.6	111.1
1788.mck172Pre.4Rapi.2	100.0
1788.mck698Post.9Buma.1	191.0909090909091
1788.mck247Pre.4Osse.2	93.625
1788.mck344Post.2Bubo.3	73.5
1788.mck631Post.7Osse.9	102.875
1788.mck675Post.8Bubo.8	57.75
1788.mck651Post.8Buma.6	173.6
1788.mck566Post.6Bubo.10	71.875
1788.mck748Post.10Bubo.5	92.1
1788.mck352Post.2Osse.1	111.71428571428572
1788.mck91Pre.1Osse.5	77.2
1788.mck719Post.9Rapi.11	150.92857142857142
1788.mck532Post.6Raca.9	148.0
1788.mck630Post.7Osse.8	130.11111111111111
1788.mck681Post.8Osse.4	90.66666666666667
1788.mck7Pre.1Raca.7	81.75
1788.mck489Post.5Buma.9	231.66666666666669
1788.mck696Post.9Raca.9	156.43478260869566
1788.mck261Post.1Raca.6	120.875
1788.mck763Post.10Buma.1	144.4
1788.mck410Post.3Osse.6	131.31578947368422
1788.mck449Post.4Rapi.11	77.14285714285714
1788.mck444Post.4Rapi.6	96.15384615384616
1788.mck783Post.10Rapi.10	154.0
1788.mck488Post.5Buma.8	129.55555555555554
1788.mck591Post.7Buma.2	170.75
1788.mck121Pre.3Rapi.4	50.0
1788.mck111Pre.3Buma.5	189.0
1788.mck445Post.4Rapi.7	139.66666666666666
1788.mck411Post.3Osse.7	92.5
1788.mck354Post.2Osse.3	83.625
1788.mck47Pre.2Raca.4	93.85714285714286
1788.mck136Pre.3Bubo.7	78.0
1788.mck606Post.7Rapi.6	186.04347826086956
1788.mck746Post.10Bubo.3	118.5
1788.mck621Post.7Bubo.9	157.1
1788.mck119Pre.3Rapi.2	72.5
1788.mck431Post.4Buma.4	173.21428571428572
1788.mck156Pre.4Raca.7	220.9
1788.mck51Pre.2Raca.8	219.57692307692307
1788.mck633Post.7Control.Mold1	149.14285714285714
1788.mck44Pre.2Raca.1	155.1875
1788.mck607Post.7Rapi.7	132.66666666666666
1788.mck657Post.8Rapi.1	77.58333333333333
1788.mck2Pre.1Raca.2	125.25
1788.mck80Pre.2Bubo.4	96.0
1788.mck576Post.6Osse.10	115.75
1788.mck638Post.8Raca.3	154.0625
1788.mck373Post.3Buma.2	136.46153846153845
1788.mck49Pre.2Raca.6	152.0625
1788.mck342Post.2Bubo.1	102.1
1788.mck775Post.10Rapi.2	145.25
1788.mck525Post.6Raca.2	139.33333333333334
1788.mck400Post.3Bubo.6	103.0
1788.mck557Post.6Bubo.1	67.0
1788.mck604Post.7Rapi.4	77.375
1788.mck27Pre.1Rapi.6	106.0909090909091
1788.mck443Post.4Rapi.5	96.66666666666667
1788.mck65Pre.2Rapi.1	132.0909090909091
